Case Status,Legislation,Case Reference,Received Date,Received FY,Received FY Month,Received Qtr,Completed Date,Completed FY,Completed Qtr,FY Completed Month,Sector,SubSector,Decision Primary Reason,Submitted About Account,Decision,Decision Detail1,Decision Detail2
Completed,Hybrid,IC-158112-P4D0,25/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Health,General Practitioner,Art 15 - Right of access,Brownlow Health at Kensington Park ,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-150373-H8L4,17/01/2022,2021/22,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,Social care,Residential care,Art 15 - Right of access,Burlington Care Homes Ltd,Informal action taken,Potential infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-159173-B7H4,03/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Legal,Legal professionals,Art 14 - Right to be informed,Cale Solicitors,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-158536-C8Y0,01/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Justice,Police Authority,Art 16 - Right to rectification,Cambridgeshire Police Federation,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-161230-X0K7,22/10/2021,2021/22,07-Oct,Q3,26/05/2022,2022/23,Q1,02-May,Land or property services,Estate agency / letting agency,Art 14 - Right to be informed,Canale Residential Limited,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-158754-R3B3,02/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 15(3)(1) - Provide a copy of the personal data,Central Bedfordshire Council,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-158532-C9K9,01/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Justice,Police Forces,Art 16 - Right to rectification,Chief Constable Bedfordshire Police,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-155969-D9Z8,15/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Justice,Police Forces,Prt 3 - Ch3 - S45 - Right of Access,Chief Constable Cumbria Constabulary,No Further Action,No infringement,No action
Completed,Hybrid,IC-158997-H6Y5,21/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Justice,Police Forces,Art 15 - Right of access,Chief Constable Derbyshire Constabulary,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-158627-K6H6,15/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Justice,Police Forces,Art 16 - Right to rectification,Chief Constable Kent Police,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-157284-T0K6,22/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Justice,Police Forces,Art 32 - Security of processing,Chief Constable Northumbria Police,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-149984-N3Q2,12/01/2022,2021/22,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,Justice,Police Forces,Art 15 - Right of access,Chief Constable Police Service of Northern Ireland (PSNI),No Further Action,No action,Insufficient information to proceed
Review Completed,Hybrid,IC-120961-D9V8,29/07/2021,2021/22,04-Jul,Q2,26/05/2022,2022/23,Q1,02-May,Justice,Police Forces,Art 15 - Right of access,Chief Constable Warwickshire Police,Informal action taken,Potential infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-156155-H6M0,13/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Justice,Police Forces,Art 15(3)(1) - Provide a copy of the personal data,Chief Constable Warwickshire Police,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-158457-F6S5,28/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Central Government,Executive agencies,Art 14 - Right to be informed,Child Maintenance Service,No Further Action,No infringement,No action
Case Officer Review Completed,Hybrid,IC-163656-M3S1,30/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Membership association,Clubs,Art 16 - Right to rectification,Cifas,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-134871-Y5S2,13/10/2021,2021/22,07-Oct,Q3,26/05/2022,2022/23,Q1,02-May,General business,Supplier of services,Art 15(3)(1) - Provide a copy of the personal data,Civica UK,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-156998-W9N1,20/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,"Finance, insurance and credit",Insurance,Art 15 - Right of access,Claims Settlement Agencies Ltd,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-160009-T8F2,08/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Online Technology and Telecoms,Unassigned,"Art 5(1)(a) - Lawfulness, fairness and transparency principle",Cognism Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-151451-H6Y3,07/01/2022,2021/22,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,"Finance, insurance and credit",Debt collection/tracing,Art 17 - Right to erasure,Commercial Collection Services Ltd,No Further Action,No infringement,Unassigned
Case Officer Review Completed,Hybrid,IC-129357-H7V0,15/09/2021,2021/22,06-Sep,Q2,26/05/2022,2022/23,Q1,02-May,Health,Dentists,Art 15 - Right of access,Concord Dental Practice,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-137704-Y7M3,29/10/2021,2021/22,07-Oct,Q3,26/05/2022,2022/23,Q1,02-May,Retail and manufacture,Supplier of goods,Art 15 - Right of access,Continental Automotive Holdings Uk Ltd,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Review Completed,Hybrid,IC-109090-F8T4,25/05/2021,2021/22,02-May,Q1,26/05/2022,2022/23,Q1,02-May,Health,Secondary care,Art 6(1)(c) - Legal obligation,County Durham & Darlington NHS Foundation Trust,No Further Action,No infringement,Good practice advice provided
Completed,Hybrid,IC-148362-P6L3,03/01/2022,2021/22,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,Retail and manufacture,Supplier of goods,Art 16 - Right to rectification,Currys Group Limited,No Further Action,No infringement,No action
Completed,Hybrid,IC-145570-R7H5,13/12/2021,2021/22,09-Dec,Q3,26/05/2022,2022/23,Q1,02-May,Retail and manufacture,Supplier of goods,Art 17 - Right to erasure,Currys Group Limited,No Further Action,No infringement,No action
Completed,Hybrid,IC-145161-X0Q5,10/12/2021,2021/22,09-Dec,Q3,26/05/2022,2022/23,Q1,02-May,Education and childcare,Academy and Free Schools,Art 32 - Security of processing,Dee Point Primary School,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-129611-R5Z6,16/09/2021,2021/22,06-Sep,Q2,26/05/2022,2022/23,Q1,02-May,Online Technology and Telecoms,Cyber security,Art 17 - Right to erasure,DeHashed.com,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-162246-L6F8,22/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 6(1)(c) - Legal obligation,Derby City Council,No Further Action,No infringement,No action
Case Officer Review Completed,Hybrid,IC-86246-D4J6,31/01/2021,2020/21,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,Retail and manufacture,Supplier of goods,Art 15 - Right of access,Diageo Great Britain Limited,No Further Action,No infringement,No action
Completed,Hybrid,IC-159054-Q4H9,03/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 15(3)(1) - Provide a copy of the personal data,East Lothian Council,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-152197-C7M6,24/01/2022,2021/22,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,Health,Ambulance Service,Art 15 - Right of access,East of England Ambulance NHS Trust,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-167701-X9Q2,26/04/2022,2022/23,01-Apr,Q1,26/05/2022,2022/23,Q1,02-May,Retail and manufacture,Supplier of goods,Art 15(3)(1) - Provide a copy of the personal data,East of England Co-operative Society Limited,Informal action taken,Potential infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-163142-W0W8,27/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Land or property services,Unassigned,Art 15(3)(1) - Provide a copy of the personal data,Fair Community Housing Services,Informal action taken,Potential infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-158771-L2P4,01/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,"Finance, insurance and credit",Unassigned,Unassigned,Fidelity International,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-163090-M5S3,26/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Land or property services,Building and property construction,Art 17(1) - Right to erasure,First Home Improvements,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-158174-J8J8,26/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Central Government,Government Department,Art 5(1)(f) - Integrity and confidentiality principle,"Foreign, Commonwealth and Development Office FCDO (previously FCO)",No Further Action,No infringement,No action
Case Officer Review Completed,Hybrid,IC-102222-L7M7,21/04/2021,2021/22,01-Apr,Q1,26/05/2022,2022/23,Q1,02-May,Health,Unassigned,Art 15(3)(1) - Provide a copy of the personal data,Four Oaks Healthcare Ltd,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-161868-R8M7,21/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Land or property services,Estate agency / letting agency,Art 17(1)(b) - Consent withdrawn,Fraser Bond Limited,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-159255-N5L3,04/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,General business,Market Research,Art 17(1)(b) - Consent withdrawn,GB Group Plc,No Further Action,No infringement,Good practice advice provided
Completed,Hybrid,IC-150026-T9S7,12/01/2022,2021/22,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,Land or property services,Housing association,Art 5(1)(f) - Integrity and confidentiality principle,Glen Housing Association,Informal action taken,Infringement,DP complaint resolved by org
Case Officer Review Completed,Hybrid,IC-151579-J1G0,21/01/2022,2021/22,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,Land or property services,Building and property construction,Art 17 - Right to erasure,Global Marine Systems Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-163055-M8L7,25/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Legal,Legal professionals,Art 15(3)(1) - Provide a copy of the personal data,Gorvins LLP,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-148444-X9L7,04/01/2022,2021/22,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,Health,Secondary care,Art 5(1)(f) - Integrity and confidentiality principle,Guy's and St Thomas' NHS Foundation Trust,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-158247-T9T7,27/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Health,General Practitioner,Art 15(3)(1) - Provide a copy of the personal data,Harford Health Centre,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-153418-K3F4,01/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,General business,Motor Trade,Art 32 - Security of processing,Harwoods Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-155786-L2P1,14/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,"Finance, insurance and credit",Financial services and advice,Art 32 - Security of processing,Hastings Insurance Services Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-163082-F4C3,26/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Land or property services,Property management,Art 17(1)(b) - Consent withdrawn,Hawk Block Management Ltd,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-157523-P3P9,23/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Health,Private Healthcare providers,Art 32 - Security of processing,HCA International Ltd,Informal action taken,Infringement,DP complaint resolved by org
Case Officer Review Completed,Hybrid,IC-144617-P3D2,07/12/2021,2021/22,09-Dec,Q3,26/05/2022,2022/23,Q1,02-May,Land or property services,Property management,Art 15(1) - Confirmation of processing,Higson Property Management Limited,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Case Officer Review Completed,Hybrid,IC-136818-Q1R0,23/10/2021,2021/22,07-Oct,Q3,26/05/2022,2022/23,Q1,02-May,General business,Recruitment agencies,Art 5 - Principles relating to processing of personal data,Humber Recruitment Limited,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Case Officer Review Completed,Hybrid,IC-148239-Z3S2,03/01/2022,2021/22,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,Retail and manufacture,Supplier of services,Art 17(1)(a) - No longer necessary for purpose,Independent Vetcare Limited ,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-168903-N0Q0,05/05/2022,2022/23,02-May,Q1,26/05/2022,2022/23,Q1,02-May,Regulators,Regulatory Body,Art 18(1) - Right to restriction,Information Commissioners Office,No Further Action,No infringement,Good practice advice provided
Completed,Hybrid,IC-168409-Q5C0,29/04/2022,2022/23,01-Apr,Q1,26/05/2022,2022/23,Q1,02-May,Regulators,Regulatory Body,"Art 12 - Transparent information, communication & modalities",Information Commissioners Office,No Further Action,Not information rights,Not DP
Completed,Hybrid,IC-158958-R0Q0,03/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,"Finance, insurance and credit",Financial services and advice,Art 14 - Right to be informed,Isio Services Limited,Informal action taken,Infringement,DP complaint resolved by org
Completed,Hybrid,IC-158726-T8P9,02/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Online Technology and Telecoms,Trading platforms,Art 17(1) - Right to erasure,Just Eat.co.uk Ltd,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-165427-X4G8,10/04/2022,2022/23,01-Apr,Q1,26/05/2022,2022/23,Q1,02-May,Legal,Unassigned,Art 17 - Right to erasure,JustAnswer LLC,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-148382-S2R5,04/01/2022,2021/22,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,Online Technology and Telecoms,Software developers,Art 16 - Right to rectification,Lawdeck Limited,No Further Action,No action,Insufficient information to proceed
Review Completed,Hybrid,IC-85883-F1X1,25/01/2021,2020/21,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,Local government,District Council,Art 6 - Lawfulness of processing,Lichfield District Council,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-152109-L0R0,24/01/2022,2021/22,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,General business,Supplier of services,Art 17 - Right to erasure,Licklist Holdings ,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-171914-J7D4,01/11/2021,2021/22,08-Nov,Q3,26/05/2022,2022/23,Q1,02-May,"Finance, insurance and credit",Financial services and advice,Art 6 - Lawfulness of processing,Link Asset Services,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-146653-M2W6,18/12/2021,2021/22,09-Dec,Q3,26/05/2022,2022/23,Q1,02-May,Regulators,Regulatory Body,Art 6 - Lawfulness of processing,Local Government & Social Care Ombudsman,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-159408-G7Z1,04/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,"Finance, insurance and credit",Pensions,Art 5(1)(f) - Integrity and confidentiality principle,London & Colonial Services Ltd,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-159062-B0S0,02/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 15(3)(1) - Provide a copy of the personal data,London Borough Of Barking and Dagenham Council,Informal action taken,Infringement,DP complaint resolved by org
Completed,Hybrid,IC-164730-W2N2,06/04/2022,2022/23,01-Apr,Q1,26/05/2022,2022/23,Q1,02-May,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 6 - Lawfulness of processing,London Borough of Bromley,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-155345-D5W0,10/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 32 - Security of processing,London Borough Of Harrow,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-138981-B2F7,04/11/2021,2021/22,08-Nov,Q3,26/05/2022,2022/23,Q1,02-May,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 15 - Right of access,London Borough of Islington,Informal action taken,Infringement,DP complaint resolved by org
Completed,Hybrid,IC-158821-P4D6,02/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Legal,Legal professionals,Art 32 - Security of processing,Lowe's Solicitors,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-156553-Y7P4,17/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,"Finance, insurance and credit",Lenders,Art 17 - Right to erasure,Madison CF UK Ltd,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-146646-J1L2,19/12/2021,2021/22,09-Dec,Q3,26/05/2022,2022/23,Q1,02-May,Health,Secondary care,Art 32 - Security of processing,Manchester University NHS Foundation Trust,No Further Action,No infringement,No action
Completed,Hybrid,IC-159997-Q1Q3,08/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,General business,Unassigned,Art 21 - Right to object,Meridian Freight Services Limited,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-145963-M7F4,14/12/2021,2021/22,09-Dec,Q3,26/05/2022,2022/23,Q1,02-May,Online Technology and Telecoms,Software developers,Art 6 - Lawfulness of processing,Microsoft Limited,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-151750-N4H8,21/01/2022,2021/22,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,General business,Business advice and consultancy,Art 15(3)(1) - Provide a copy of the personal data,Mike India 5 Limited,No Further Action,No infringement,No action
Completed,Hybrid,IC-143861-Q8M8,02/12/2021,2021/22,09-Dec,Q3,26/05/2022,2022/23,Q1,02-May,Education and childcare,Higher education,Art 15(3)(1) - Provide a copy of the personal data,Newcastle University,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-155210-Q2Y3,10/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Health,Secondary care,Art 15 - Right of access,Norfolk and Suffolk NHS Foundation Trust,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-139540-D4X6,09/11/2021,2021/22,08-Nov,Q3,26/05/2022,2022/23,Q1,02-May,Local government,District Council,Art 32 - Security of processing,North Norfolk District Council,No Further Action,No infringement,No action
Case Officer Review Completed,Hybrid,IC-145243-F4Z7,24/11/2021,2021/22,08-Nov,Q3,26/05/2022,2022/23,Q1,02-May,Local government,County Council,Art 15(3)(1) - Provide a copy of the personal data,Northamptonshire County Council,No Further Action,No infringement,No action
Completed,Hybrid,IC-152248-Y6L4,25/01/2022,2021/22,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,Health,Secondary care,Art 15 - Right of access,Northern Care Alliance NHS Foundation Trust,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-152166-G1W2,24/01/2022,2021/22,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,Health,Primary care,Art 15 - Right of access,Northern Care Alliance NHS Foundation Trust,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-162145-J4X1,20/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Local government,District Council,Art 15 - Right of access,Nuneaton and Bedworth Borough Council,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-158632-S2C3,01/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,"Finance, insurance and credit",Debt collection/tracing,Unassigned,Pastdue Credit Solutions,No Further Action,No action,Insufficient information to proceed
Review Completed,Hybrid,IC-136183-K0G7,21/10/2021,2021/22,07-Oct,Q3,26/05/2022,2022/23,Q1,02-May,Legal,Legal professionals,Art 16 - Right to rectification,Pattinson and Brewer Solicitors,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-157989-R7X7,28/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,"Finance, insurance and credit",Financial services and advice,Art 17(1) - Right to erasure,PayPal,No Further Action,No infringement,No action
Completed,Hybrid,IC-160194-W7V9,10/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,"Finance, insurance and credit",Financial services and advice,Art 16 - Right to rectification,PayPal,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-145415-T9P6,10/12/2021,2021/22,09-Dec,Q3,26/05/2022,2022/23,Q1,02-May,General business,Unassigned,Art 5 - Principles relating to processing of personal data,PPL PRS Limited,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-149368-T5V9,08/01/2022,2021/22,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,Retail and manufacture,Supplier of goods,Art 15 - Right of access,Premier Farnell UK Limited (Farnell UK),Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-157322-S4Y1,24/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,General business,Supplier of services,Art 15(1)(g) - Source of personal data,Primary Care Support England (PCSE),No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-156933-Z0X9,21/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Health,Healthcare and pharmaceuticals,Art 17 - Right to erasure,Randox Health Checks (NI) Limited,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-143032-H4Y2,29/11/2021,2021/22,08-Nov,Q3,26/05/2022,2022/23,Q1,02-May,Retail and manufacture,Manufacturing,Art 15 - Right of access,Schaeffler (UK) Ltd,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-143011-Z6X3,29/11/2021,2021/22,08-Nov,Q3,26/05/2022,2022/23,Q1,02-May,Retail and manufacture,Manufacturing,Art 15(3)(1) - Provide a copy of the personal data,Schaeffler (UK) Ltd,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-157365-F9G7,22/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Utilities,Utility companies,Art 15(3)(1) - Provide a copy of the personal data,Scottish Power UK PLC,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-157417-Y8X9,22/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Utilities,Utility companies,Art 15(3)(1) - Provide a copy of the personal data,Scottish Power UK PLC,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-168013-K7L6,28/04/2022,2022/23,01-Apr,Q1,26/05/2022,2022/23,Q1,02-May,"Finance, insurance and credit",Accountancy and Payroll,"Art 5(1)(a) - Lawfulness, fairness and transparency principle",Scottish Widows Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-152231-M5C7,25/01/2022,2021/22,10-Jan,Q4,26/05/2022,2022/23,Q1,02-May,Central Government,Government Department,Art 15(3)(1) - Provide a copy of the personal data,Secretary of State for Defence (Ministry of Defence),No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-171355-T0K3,16/05/2022,2022/23,02-May,Q1,26/05/2022,2022/23,Q1,02-May,Central Government,Government Department,Art 15 - Right of access,Secretary of State for the Home Department (Home Office),Informal action taken,Potential infringement,DP complaint resolved by org
Completed,Hybrid,IC-172325-Z2Q9,23/05/2022,2022/23,02-May,Q1,26/05/2022,2022/23,Q1,02-May,Central Government,Government Department,Art 15 - Right of access,Secretary of State for the Home Department (Home Office),Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-161066-C5T6,08/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Legal,Legal professionals,Art 32 - Security of processing,Secure Inheritance Legal Services Ltd,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Case Officer Review Completed,Hybrid,IC-159499-G6F8,27/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Transport and leisure,Entertainment providers,Art 17(1) - Right to erasure,See Group Limited trading as See Tickets,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-154995-S7T5,09/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Utilities,Utility companies,Art 15(3)(1) - Provide a copy of the personal data,Shell Energy Retail Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-140060-J4Y1,11/11/2021,2021/22,08-Nov,Q3,26/05/2022,2022/23,Q1,02-May,Regulators,Regulatory Body,Art 16 - Right to rectification,Social Work England,No Further Action,No infringement,No action
Review Completed,Hybrid,IC-126113-H2Y8,26/08/2021,2021/22,05-Aug,Q2,26/05/2022,2022/23,Q1,02-May,Health,Secondary care,"Art 5(1)(a) - Lawfulness, fairness and transparency principle",Southern Health and Social Care Trust,No Further Action,No infringement,No action
Completed,Hybrid,IC-163283-N1G7,28/03/2022,2021/22,12-Mar,Q4,26/05/2022,2022/23,Q1,02-May,Land or property services,Property management,Art 15(3)(1) - Provide a copy of the personal data,Stay Lusso Operations Ltd,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-157962-K0C1,24/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Online Technology and Telecoms,Cyber security,Art 17(1) - Right to erasure,Surfshark ,No Further Action,No infringement,No action
Completed,Hybrid,IC-156794-C7H5,18/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Health,Secondary care,Art 15 - Right of access,Sussex Partnership NHS Foundation Trust,No Further Action,No infringement,No action
Completed,Hybrid,IC-154943-P1X9,01/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Health,General Practitioner,Art 6 - Lawfulness of processing,Swan Surgery,No Further Action,No infringement,No action
Completed,Hybrid,IC-128045-G7X3,08/09/2021,2021/22,06-Sep,Q2,26/05/2022,2022/23,Q1,02-May,Marketing,Marketing providers,Art 17(1) - Right to erasure,TalentSpa Ltd,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-157987-L9K5,24/02/2022,2021/22,11-Feb,Q4,26/05/2022,2022/23,Q1,02-May,Central Government,Executive agencies,Art 15(3)(1) - Provide a copy of the personal data,The Insolvency Service,No Further Action,No infringement,No action
